mean_1	cx	mut_pb	t_size	max_val
70	cxTwoPoint	0.2	6	1.94375993152
70	cxTwoPoint	0.2	8	1.93767512949
70	cxUniform	0.05	2	1.95112196875
70	cxUniform	0.05	4	1.94694395641
70	cxUniform	0.05	6	1.94386505385
70	cxUniform	0.05	8	1.94598264732
70	cxUniform	0.075	2	1.95005850593
70	cxUniform	0.075	4	1.94952393345
70	cxUniform	0.075	6	1.94746638478
70	cxUniform	0.075	8	1.9507817339
70	cxUniform	0.1	2	1.9513724712
70	cxUniform	0.1	4	1.94572410487
70	cxUniform	0.1	6	1.94637988216
70	cxUniform	0.1	8	1.94107858766
70	cxUniform	0.125	2	1.95145025952
70	cxUniform	0.125	4	1.94635628525
70	cxUniform	0.125	6	1.94984670004
70	cxUniform	0.125	8	1.94939270172
70	cxUniform	0.15	2	1.95202274693
70	cxUniform	0.15	4	1.94925210441
70	cxUniform	0.15	6	1.9489980271
70	cxUniform	0.15	8	1.94687232168
70	cxUniform	0.175	2	1.95184149791
70	cxUniform	0.175	4	1.94631508641
70	cxUniform	0.175	6	1.94729344536
70	cxUniform	0.175	8	1.94328763841
70	cxUniform	0.2	2	1.95133645542
70	cxUniform	0.2	4	1.95049115463
70	cxUniform	0.2	6	1.94737357684
70	cxUniform	0.2	8	1.94886498288
80	cxOnePoint	0.05	2	1.93736575546
80	cxOnePoint	0.05	4	1.93807529198
80	cxOnePoint	0.05	6	1.93846856033
80	cxOnePoint	0.05	8	1.93585853302
80	cxOnePoint	0.075	2	1.94384747774
80	cxOnePoint	0.075	4	1.93638779136
80	cxOnePoint	0.075	6	1.94373052807
80	cxOnePoint	0.075	8	1.93748647718
80	cxOnePoint	0.1	2	1.94974219117
80	cxOnePoint	0.1	4	1.93523436346
80	cxOnePoint	0.1	6	1.93306360522
80	cxOnePoint	0.1	8	1.94170002462
80	cxOnePoint	0.125	2	1.93837794798
80	cxOnePoint	0.125	4	1.94589235698
80	cxOnePoint	0.125	6	1.93619353906
80	cxOnePoint	0.125	8	1.93467933897
80	cxOnePoint	0.15	2	1.94417301006
80	cxOnePoint	0.15	4	1.93900787756
80	cxOnePoint	0.15	6	1.94136179432
80	cxOnePoint	0.15	8	1.94881095174
80	cxOnePoint	0.175	2	1.94220470107
80	cxOnePoint	0.175	4	1.94427377096
